timeseries,labels
1671452740483,0
1671452740485,0
1671452740486,0
1671452740488,0
1671452740489,0
1671452740489,0
1671452740490,0
1671452740491,0
1671452740491,0
1671452740493,0
1671452740493,0
1671452740494,0
1671452740495,0
1671452740496,0
1671452740497,0
1671452740498,0
1671452740499,0
1671452740501,0
1671452740502,0
1671452740503,0
1671452740504,0
1671452740564,0
1671452740579,0
1671452740580,0
1671452740581,0
1671452740582,0
1671452740583,0
1671452740584,0
1671452740585,0
1671452740586,0
1671452740587,0
1671452740588,0
1671452740589,0
1671452740590,0
1671452740590,0
1671452740591,0
1671452740593,0
1671452740593,0
1671452740595,0
1671452740596,0
1671452740597,0
1671452740597,0
1671452740598,0
1671452740599,0
1671452740600,0
1671452740601,0
1671452740652,1
1671452740663,1
1671452740664,1
1671452740664,1
1671452740665,1
1671452740666,1
1671452740667,1
1671452740668,1
1671452740668,1
1671452740668,1
1671452740669,1
1671452740670,1
1671452740670,1
1671452740671,1
1671452740672,1
1671452740673,1
1671452740674,1
1671452740675,1
1671452740676,1
1671452740677,1
1671452740678,1
1671452740679,1
1671452740680,1
1671452740681,1
1671452740681,1
