timeseries,label
1674644683083,0
1674644683105,0
1674644683126,0
1674644683145,0
1674644683165,0
1674644683187,0
1674644683209,0
1674644683231,0
1674644683253,0
1674644683275,0
1674644683293,0
1674644683312,0
1674644683332,0
1674644683354,0
1674644683375,0
1674644683397,0
1674644683421,0
1674644683446,0
1674644683470,0
1674644683498,0
1674644683522,0
1674644683547,0
1674644683570,0
1674644683596,0
1674644683623,0
1674644683646,0
1674644683670,0
1674644683696,0
1674644683722,0
1674644683746,0
1674644683772,0
1674644683909,0
1674644683932,0
1674644683958,0
1674644683980,0
1674644684003,0
1674644684029,0
1674644684054,0
1674644684077,0
1674644684104,0
1674644684133,0
1674644684162,0
1674644684191,0
1674644684210,0
1674644684229,0
1674644684248,0
1674644684268,0
1674644684288,0
1674644684308,0
1674644684326,0
1674644684345,0
1674644684365,0
1674644684384,0
1674644684402,0
1674644684422,0
1674644684441,0
1674644684460,0
1674644684479,0
1674644684499,0
1674644684516,0
1674644684534,0
1674644684551,0
1674644684569,0
1674644684588,0
1674644684606,0
1674644684624,0
1674644684642,0
1674644684660,0
1674644684679,0
1674644684698,0
1674644684717,0
1674644684736,0
1674644685040,0
1674644685064,0
1674644685091,0
1674644685117,0
1674644685143,0
1674644685170,0
1674644685199,0
1674644685226,0
1674644685254,0
1674644685280,0
1674644685309,0
1674644685349,0
1674644685370,0
1674644685399,0
1674644685452,0
1674644685483,0
1674644685698,1
1674644685743,1
1674644685776,1
1674644685809,1
1674644685837,1
1674644685859,1
1674644685877,1
1674644685895,1
1674644685914,1
1674644685934,1
1674644685951,1
1674644685969,1
1674644685987,1
1674644686005,1
1674644686023,1
1674644686044,1
1674644686062,1
1674644686079,1
1674644686097,1
1674644686115,1
1674644686133,1
1674644686152,1
1674644686171,1
1674644686191,1
1674644686209,1
1674644686226,1
1674644686250,1
1674644686269,1
1674644686289,1
1674644686308,1
1674644686328,1
1674644686348,1
1674644686368,1
1674644686387,1
1674644686407,1
1674644686425,1
1674644686442,1
1674644686460,1
1674644686478,1
1674644686498,1
1674644686515,1
1674644686534,1
1674644686553,1
1674644686580,1
1674644686612,1
1674644686633,1
1674644686653,1
1674644686676,1
1674644686697,1
1674644686722,1
1674644686749,1
1674644686779,1
1674644686812,1
1674644686846,1
1674644686874,1
1674644686907,1
1674644686944,1
