LEXXW;GXIIW;CODI_B;FTHM;INQQ;
1.02966;1.02966;1.02966;1.02966;1.02966;
0.961146;0.961146;0.961146;0.961146;0.961146;
1.016;1.016;1.016;1.016;1.016;
1.02478;1.02478;1.02478;1.02478;1.02478;
1.08008;1.08008;1.08008;1.08008;1.08008;
1.09914;1.09914;1.09914;1.09914;1.09914;
1.07494;1.07494;1.07494;1.07494;1.07494;
1.03517;1.03517;1.03517;1.03517;1.03517;
0.938702;0.938702;0.938702;0.938702;0.938702;
0.909064;0.909064;0.909064;0.909064;0.909064;
0.860021;0.860021;0.860021;0.860021;0.860021;
0.929319;0.929319;0.929319;0.929319;0.929319;
0.846545;0.846545;0.846545;0.846545;0.846545;
0.782672;0.782672;0.782672;0.782672;0.782672;
0.714809;0.714809;0.714809;0.714809;0.714809;
0.664248;0.664248;0.664248;0.664248;0.664248;
0.735326;0.735326;0.735326;0.735326;0.735326;
0.672949;0.672949;0.672949;0.672949;0.672949;
0.696251;0.696251;0.696251;0.696251;0.696251;
0.766478;0.766478;0.766478;0.766478;0.766478;
0.795432;0.795432;0.795432;0.795432;0.795432;
0.851585;0.851585;0.851585;0.851585;0.851585;
0.83663;0.83663;0.83663;0.83663;0.83663;
0.856917;0.856917;0.856917;0.856917;0.856917;
0.786886;0.786886;0.786886;0.786886;0.786886;
0.804167;0.804167;0.804167;0.804167;0.804167;
0.853516;0.853516;0.853516;0.853516;0.853516;
0.876009;0.876009;0.876009;0.876009;0.876009;
0.892388;0.892388;0.892388;0.892388;0.892388;
0.834316;0.834316;0.834316;0.834316;0.834316;
0.899715;0.899715;0.899715;0.899715;0.899715;
0.8198;0.8198;0.8198;0.8198;0.8198;
0.827138;0.827138;0.827138;0.827138;0.827138;
0.754804;0.754804;0.754804;0.754804;0.754804;
0.721396;0.721396;0.721396;0.721396;0.721396;
0.663563;0.663563;0.663563;0.663563;0.663563;
0.712648;0.712648;0.712648;0.712648;0.712648;
0.793391;0.793391;0.793391;0.793391;0.793391;
0.885092;0.885092;0.885092;0.885092;0.885092;
0.916942;0.916942;0.916942;0.916942;0.916942;
0.930667;0.930667;0.930667;0.930667;0.930667;
0.949306;0.949306;0.949306;0.949306;0.949306;
0.987199;0.987199;0.987199;0.987199;0.987199;
1.04604;1.04604;1.04604;1.04604;1.04604;
1.11605;1.11605;1.11605;1.11605;1.11605;
1.01766;1.01766;1.01766;1.01766;1.01766;
0.954382;0.954382;0.954382;0.954382;0.954382;
0.95911;0.95911;0.95911;0.95911;0.95911;
0.953222;0.953222;0.953222;0.953222;0.953222;
1.03089;1.03089;1.03089;1.03089;1.03089;
