Radial_Velocity;Radial_Demodulation;Axial_Acceleration;Axial_Velocity;Axial_Demodulation;Radial_Acceleration
0.002101;0.004131;0.008122;0.002101;0.004131;0.008122
0.003414;0.006705;0.013169;0.003414;0.006705;0.013169
0.003549;0.006962;0.013660;0.003549;0.006962;0.013660
0.001950;0.003821;0.007489;0.001950;0.003821;0.007489
0.001271;0.002486;0.004862;0.001271;0.002486;0.004862
0.002809;0.005491;0.010733;0.002809;0.005491;0.010733
0.002542;0.004962;0.009688;0.002542;0.004962;0.009688
0.002409;0.004697;0.009159;0.002409;0.004697;0.009159
0.003089;0.006016;0.011717;0.003089;0.006016;0.011717
0.003003;0.005842;0.011366;0.003003;0.005842;0.011366
0.002624;0.005099;0.009908;0.002624;0.005099;0.009908
0.002541;0.004932;0.009572;0.002541;0.004932;0.009572
0.002183;0.004232;0.008204;0.002183;0.004232;0.008204
0.000850;0.001646;0.003187;0.000850;0.001646;0.003187
0.003065;0.005927;0.011462;0.003065;0.005927;0.011462
0.003505;0.006769;0.013074;0.003505;0.006769;0.013074
0.003384;0.006528;0.012594;0.003384;0.006528;0.012594
0.004323;0.008330;0.016051;0.004323;0.008330;0.016051
0.003461;0.006661;0.012820;0.003461;0.006661;0.012820
0.000973;0.001871;0.003597;0.000973;0.001871;0.003597
0.001863;0.003576;0.006866;0.001863;0.003576;0.006866
0.001614;0.003095;0.005936;0.001614;0.003095;0.005936
0.000758;0.001451;0.002781;0.000758;0.001451;0.002781
0.001966;0.003762;0.007197;0.001966;0.003762;0.007197
0.002235;0.004271;0.008162;0.002235;0.004271;0.008162
0.001460;0.002786;0.005320;0.001460;0.002786;0.005320
0.001192;0.002273;0.004334;0.001192;0.002273;0.004334
0.001040;0.001980;0.003771;0.001040;0.001980;0.003771
0.002300;0.004374;0.008318;0.002300;0.004374;0.008318
0.002988;0.005676;0.010785;0.002988;0.005676;0.010785
0.001825;0.003464;0.006575;0.001825;0.003464;0.006575
0.000885;0.001678;0.003181;0.000885;0.001678;0.003181
0.001126;0.002132;0.004036;0.001126;0.002132;0.004036
0.001535;0.002902;0.005488;0.001535;0.002902;0.005488
0.000820;0.001550;0.002928;0.000820;0.001550;0.002928
0.001109;0.002091;0.003944;0.001109;0.002091;0.003944
0.002430;0.004578;0.008627;0.002430;0.004578;0.008627
0.002230;0.004199;0.007905;0.002230;0.004199;0.007905
0.001062;0.001997;0.003755;0.001062;0.001997;0.003755
0.001089;0.002045;0.003840;0.001089;0.002045;0.003840
0.002331;0.004371;0.008198;0.002331;0.004371;0.008198
0.003398;0.006367;0.011929;0.003398;0.006367;0.011929
0.002929;0.005483;0.010264;0.002929;0.005483;0.010264
0.001404;0.002625;0.004907;0.001404;0.002625;0.004907
0.000737;0.001376;0.002569;0.000737;0.001376;0.002569
0.000596;0.001112;0.002073;0.000596;0.001112;0.002073
0.000909;0.001693;0.003153;0.000909;0.001693;0.003153
0.001235;0.002298;0.004276;0.001235;0.002298;0.004276
0.001159;0.002153;0.004002;0.001159;0.002153;0.004002
0.001712;0.003178;0.005901;0.001712;0.003178;0.005901
0.001156;0.002144;0.003977;0.001156;0.002144;0.003977
0.000791;0.001464;0.002712;0.000791;0.001464;0.002712
0.001550;0.002868;0.005306;0.001550;0.002868;0.005306
0.001379;0.002549;0.004711;0.001379;0.002549;0.004711
0.001348;0.002488;0.004594;0.001348;0.002488;0.004594
0.001052;0.001940;0.003577;0.001052;0.001940;0.003577
0.000575;0.001060;0.001952;0.000575;0.001060;0.001952
0.000609;0.001120;0.002061;0.000609;0.001120;0.002061
0.000473;0.000868;0.001596;0.000473;0.000868;0.001596
0.000895;0.001643;0.003015;0.000895;0.001643;0.003015
0.001193;0.002188;0.004012;0.001193;0.002188;0.004012
0.001189;0.002178;0.003989;0.001189;0.002178;0.003989
0.002926;0.005353;0.009793;0.002926;0.005353;0.009793
0.003272;0.005980;0.010927;0.003272;0.005980;0.010927
0.001893;0.003455;0.006307;0.001893;0.003455;0.006307
0.000398;0.000727;0.001325;0.000398;0.000727;0.001325
0.001111;0.002024;0.003685;0.001111;0.002024;0.003685
0.001167;0.002123;0.003862;0.001167;0.002123;0.003862
0.001395;0.002534;0.004605;0.001395;0.002534;0.004605
0.001379;0.002502;0.004542;0.001379;0.002502;0.004542
0.001098;0.001991;0.003610;0.001098;0.001991;0.003610
0.002194;0.003974;0.007196;0.002194;0.003974;0.007196
0.003480;0.006295;0.011387;0.003480;0.006295;0.011387
0.003678;0.006646;0.012011;0.003678;0.006646;0.012011
0.002463;0.004446;0.008027;0.002463;0.004446;0.008027
0.001507;0.002718;0.004901;0.001507;0.002718;0.004901
0.002306;0.004152;0.007477;0.002306;0.004152;0.007477
0.002548;0.004584;0.008248;0.002548;0.004584;0.008248
0.001579;0.002838;0.005101;0.001579;0.002838;0.005101
0.001175;0.002108;0.003785;0.001175;0.002108;0.003785
0.001674;0.003001;0.005380;0.001674;0.003001;0.005380
0.001663;0.002978;0.005335;0.001663;0.002978;0.005335
0.001847;0.003304;0.005911;0.001847;0.003304;0.005911
0.003371;0.006023;0.010763;0.003371;0.006023;0.010763
0.004207;0.007511;0.013410;0.004207;0.007511;0.013410
0.002942;0.005248;0.009362;0.002942;0.005248;0.009362
0.001517;0.002703;0.004816;0.001517;0.002703;0.004816
0.001919;0.003414;0.006074;0.001919;0.003414;0.006074
0.002313;0.004112;0.007311;0.002313;0.004112;0.007311
0.001202;0.002134;0.003789;0.001202;0.002134;0.003789
0.001408;0.002497;0.004428;0.001408;0.002497;0.004428
0.001465;0.002596;0.004599;0.001465;0.002596;0.004599
0.001261;0.002232;0.003951;0.001261;0.002232;0.003951
0.001129;0.001997;0.003530;0.001129;0.001997;0.003530
0.001135;0.002005;0.003541;0.001135;0.002005;0.003541
0.000622;0.001097;0.001934;0.000622;0.001097;0.001934
0.001175;0.002071;0.003648;0.001175;0.002071;0.003648
0.002501;0.004402;0.007748;0.002501;0.004402;0.007748
0.002562;0.004505;0.007922;0.002562;0.004505;0.007922
0.000863;0.001516;0.002662;0.000863;0.001516;0.002662
0.001383;0.002427;0.004259;0.001383;0.002427;0.004259
0.000800;0.001403;0.002458;0.000800;0.001403;0.002458
0.001718;0.003008;0.005266;0.001718;0.003008;0.005266
0.001647;0.002880;0.005036;0.001647;0.002880;0.005036
0.001136;0.001985;0.003468;0.001136;0.001985;0.003468
0.000570;0.000995;0.001736;0.000570;0.000995;0.001736
0.001094;0.001907;0.003324;0.001094;0.001907;0.003324
0.001241;0.002160;0.003762;0.001241;0.002160;0.003762
0.001958;0.003406;0.005925;0.001958;0.003406;0.005925
0.001853;0.003219;0.005594;0.001853;0.003219;0.005594
0.002137;0.003709;0.006437;0.002137;0.003709;0.006437
0.002310;0.004005;0.006944;0.002310;0.004005;0.006944
0.001762;0.003052;0.005287;0.001762;0.003052;0.005287
0.000467;0.000809;0.001400;0.000467;0.000809;0.001400
0.001110;0.001918;0.003314;0.001110;0.001918;0.003314
0.000749;0.001294;0.002235;0.000749;0.001294;0.002235
0.000887;0.001529;0.002637;0.000887;0.001529;0.002637
