ID;Time;num_measure;CPU1_node01_Watt;min_CPU1_node01_Watt;max_CPU1_node01_Watt;CPU1_node01_Joule;min_CPU1_node01_Joule;max_CPU1_node01_Joule;CPU2_node01_Watt;min_CPU2_node01_Watt;max_CPU2_node01_Watt;CPU2_node01_Joule;min_CPU2_node01_Joule;max_CPU2_node01_Joule;ATX+12V_node01_Watt;min_ATX+12V_node01_Watt;max_ATX+12V_node01_Watt;ATX+12V_node01_Joule;min_ATX+12V_node01_Joule;max_ATX+12V_node01_Joule;Dummy_Watt;min_Dummy_Watt;max_Dummy_Watt;Dummy_Joule;min_Dummy_Joule;max_Dummy_Joule; ;power;energy
phase:0;0.0176482;221;47.3721;40.5614;57.4728;0.836034;0.715836;1.01429;59.4219;50.456;71.597;1.04869;0.890459;1.26356;32.1212;27.3534;38.1749;0.566882;0.482738;0.673719;14.0919;14.0795;14.1054;0.248697;0.248478;0.248936; ;188.9152;3.33401323264
phase:1;0.000398159;6;51.1197;46.3729;54.2844;0.0203538;0.0184638;0.0216138;63.4763;57.3026;67.9381;0.0252737;0.0228155;0.0270502;33.9213;30.9637;36.3119;0.0135061;0.0123285;0.0144579;14.0969;14.0948;14.0993;0.00561282;0.00561196;0.00561378; ;198.5173;0.0790414496507
phase:2;0.0620077;776;47.426;40.2969;55.4543;2.94078;2.49872;3.43859;59.5271;50.2434;72.7226;3.69114;3.11548;4.50936;32.1294;27.2351;38.1892;1.99227;1.68878;2.36802;14.0912;14.0795;14.1032;0.873765;0.873037;0.874503; ;189.0825;11.72457093525
phase:0;0.0271204;340;52.1628;40.2392;70.3961;1.41467;1.0913;1.90917;65.4269;49.9643;89.1728;1.7744;1.35505;2.4184;35.2929;26.9359;48.5339;0.957156;0.73051;1.31626;14.0911;14.081;14.1039;0.382155;0.381882;0.382503; ;202.8826;5.50225726504
phase:1;0.000212193;3;61.0355;56.4833;63.3469;0.0129513;0.0119853;0.0134417;78.1406;73.6206;80.4647;0.0165808;0.0156217;0.017074;41.5616;41.232;42.1319;0.00881906;0.00874913;0.00894007;14.0922;14.0894;14.0978;0.00299026;0.00298967;0.00299145; ;230.7377;0.0489609247761
phase:2;0.0328853;412;51.1623;40.6373;67.5545;1.68249;1.33637;2.22155;64.1997;50.4864;81.7187;2.11123;1.66026;2.68734;34.6544;27.3445;44.4064;1.13962;0.899231;1.46032;14.0864;14.0726;14.0993;0.463235;0.462783;0.463661; ;200.0164;6.57759931892
phase:0;0.00630856;80;41.2106;38.8437;43.6434;0.259979;0.245048;0.275327;51.6484;48.8308;54.5764;0.325827;0.308052;0.344298;27.9301;26.3642;29.4661;0.176199;0.16632;0.185889;14.0861;14.0803;14.0925;0.0888629;0.0888261;0.0889031; ;170.7891;1.077433284696
phase:1;0.0109191;137;39.9514;38.905;42.1538;0.436233;0.424807;0.460281;50.0705;48.2244;53.318;0.546725;0.526567;0.582185;27.0799;26.3586;28.6937;0.295688;0.287812;0.31331;14.0877;14.0787;14.097;0.153825;0.153727;0.153927; ;167.1018;1.82460126438
phase:2;0.0847497;1061;39.4958;37.9926;43.5352;3.34726;3.21986;3.68959;49.5019;47.3911;54.498;4.19527;4.01638;4.61869;26.7658;25.8627;29.6006;2.26839;2.19185;2.50865;14.0868;14.0764;14.0978;1.19385;1.19297;1.19479; ;165.7635;14.04840689595
phase:0;0.00618434;78;41.4785;39.8467;45.0417;0.256517;0.246425;0.278553;51.9014;49.6208;56.7595;0.320976;0.306872;0.35102;28.0462;26.7475;30.3619;0.173447;0.165416;0.187768;14.0967;14.0925;14.1024;0.0871789;0.0871526;0.087214; ;171.4261;1.060157287274
